cluster_id,intensity,rank,uri,energy,valence
2,1,17,spotify:track:0ajMGHgrNy7pmfCxEzy9DA,0.543,0.467
2,1,18,spotify:track:1yK5zdMhJInzJFqzMaHfkS,0.955,0.198
2,1,19,spotify:track:5CJnTtXtUAC5U6ygQBx4m1,0.71,0.2
2,1,20,spotify:track:2407rYcgcXCDMmVrLPxgwD,0.32,0.156
2,5,1,spotify:track:3ESXgEbWaaoCJcHkiG6yF1,0.78,0.472
2,5,2,spotify:track:3b1Tj3Kbq12h0uw8CTOiYc,0.613,0.227
2,5,3,spotify:track:7vF5RIx2jHtt9Y0OElOZKK,0.541,0.551
2,5,4,spotify:track:3JsBCGVsEjIlJ76J6giL6B,0.695,0.0395
2,5,5,spotify:track:3IroBaDGAzIty2iPEdVX1F,0.546,0.382
2,5,6,spotify:track:0A7qm9PRzocDwaj8U7nydr,0.304,0.629
2,5,7,spotify:track:5eMhXCnH4VVkd9bkV6CUeg,0.636,0.245
2,5,8,spotify:track:17USTnFMTp85fCCrSCwQsE,0.545,0.368
2,5,9,spotify:track:003TeKLxu9qrcWLF0JXgf9,0.668,0.0854
2,5,10,spotify:track:5KH9kPpOZZV2WkJj6WWt1O,0.689,0.198
2,5,11,spotify:track:4fhkXRDDoP503WKJr3C9FO,0.135,0.393
2,5,12,spotify:track:0I4yYE831a8SW8QIx6bz4x,0.692,0.684
2,5,13,spotify:track:3J9NEWkd9Cx1MwSSvDySkL,0.931,0.4
2,5,14,spotify:track:2n7DYdZiCIx6KxNtVBZKad,0.842,0.337
2,5,15,spotify:track:2TKL4j2raIpHYifi3taLCc,0.131,0.14
2,5,16,spotify:track:3gJbCMoDT9rUmPS1GPd6kn,0.271,0.438
2,5,17,spotify:track:574IBnzValA7TFIiOHNfPT,0.764,0.36
2,5,18,spotify:track:02GCSZWHKNQ82cIjkPkjfE,0.418,0.109
2,5,19,spotify:track:65WYcv1ae70zidziTScqka,0.625,0.149
2,5,20,spotify:track:2pVQtg1gfTftOLugm5ENov,0.37,0.653
2,10,1,spotify:track:08S16hniv7Drl6Xas9x3cm,0.371,0.0465
2,10,2,spotify:track:41ZPPTp7Hj9Bhy361OKtfK,0.338,0.219
2,10,3,spotify:track:69xOrL71OeGz5fqXFTnJ5L,0.352,0.415
2,10,4,spotify:track:0wvCSSMj3gkLeJPl8E2FrK,0.503,0.461
2,10,5,spotify:track:3o0nkjyy6eZL5lZcEpvJec,0.679,0.29
2,10,6,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,0.556,0.521
2,10,7,spotify:track:0VxX3RBKO46Ky6XgvN0bME,0.256,0.64
2,10,8,spotify:track:3zK4Qy2PChc1AvpWbEVEj9,0.737,0.44
2,10,9,spotify:track:0xhiQVCz22skOX51jsrfyE,0.761,0.526
2,10,10,spotify:track:4wJqXk8L2pEGm5Yhg0cMu8,0.137,0.612
